org_npi,avg_mips_score,mips_clinician_count
1003878554,74.98,1
1003879982,78.47,5
1003881186,82.54,1
1003881822,84.21,22
1003882812,80.83,41
1003882937,81.28,16
1003883075,30.0,1
1003883877,87.01,2
1003884388,90.08,1
1003884511,80.38,2
1003884560,79.96,61
1003887118,93.48,162
1003887266,87.83,5
1003889023,9.19,1
1003889072,90.24,7
1003889676,88.69,26
1003892597,100.0,8
1003892977,86.58,3
1003894122,73.94,4
1003896499,87.09,5
1003899782,82.55,2
1003900143,94.95,14
1003900382,75.0,1
1003900721,64.82,1
1003901067,19.65,3
1003901489,46.91,1
1003901679,97.58,1
1003901976,78.28,1
1003902917,84.71,3
1003903527,80.51,3
1003904095,80.24,4
1003904269,84.67,1
1003904335,75.0,2
1003904665,91.48,2
1003905001,81.76,7
1003905084,75.0,1
1003905266,89.24,7
1003905878,100.0,2
1003906868,75.77,60
1003907726,86.89,1
1003907767,84.12,4
1003908484,84.01,1
1003909037,95.89,1
1003910688,80.95,14
1003911256,25.41,3
1003911629,83.4,4
1003911967,0.0,1
1003912957,57.66,7
1003913476,82.53,1
1003914201,96.48,6
1003914698,0.0,2
1003915018,14.69,1
1003917550,62.1,1
1003918830,89.26,44
1003919093,79.71,5
1003920778,100.0,2
1003921990,75.0,1
1003923707,85.45,213
1003924754,76.99,1
1003928755,93.07,4
1003930231,79.16,1
1003931981,59.12,2
1003932831,0.0,1
1003933714,75.0,1
1003934340,93.53,6
1003935339,86.48,993
1003935693,100.0,2
1003936840,44.37,2
1003937954,90.38,1
1003939190,74.9,3
1003940354,83.08,3
1003940388,87.44,6
1003940602,92.59,1
1003941873,26.79,1
1003942970,0.0,1
1003944133,26.37,1
1003945353,75.0,1
1003948290,75.0,1
1003949389,66.95,1
1003949868,94.81,1
1003949975,82.3,31
1003950122,97.05,1
1003950189,71.38,13
1003950395,90.83,1
1003950973,81.25,4
1003951013,22.63,1
1003951575,91.24,2
1003952342,83.81,1
1003952383,7.5,1
1003954249,75.0,3
1003955071,80.26,3
1003955683,89.01,1
1003956079,75.1,3
1003956095,82.51,62
1003956459,20.18,1
1003960063,98.17,2
1003960287,100.0,1
1003960394,71.82,7
1003960949,88.87,1
1003961343,75.0,2
1003963133,13.48,1
1003963158,85.07,7
1003963372,30.0,1
1003963414,75.54,1
1003963497,80.18,54
1003964370,50.86,1
1003964610,7.21,3
1003964677,96.01,1
1003965336,90.58,2
1003965641,82.02,3
1003965997,86.22,525
1003966789,0.0,1
1003968017,97.88,7
1003968041,0.0,1
1003969288,0.0,1
1003970344,88.64,1
1003973207,77.19,26
1003973421,96.65,1
1003978669,75.0,1
1003978867,72.89,6
1003979337,88.87,1
1003979717,15.45,1
1003981093,97.97,5
1003982133,87.33,1
1003982281,75.0,1
1003982497,100.0,1
1003983040,3.77,1
1003983321,87.16,3
1003983883,92.97,5
1003984188,84.3,3
1003984493,20.56,2
1003984873,69.19,6
1003985037,83.94,6
1003985102,83.34,70
1003985573,86.68,33
1003985821,90.5,1
1003986324,30.92,3
1003987868,87.69,8
1003988635,96.0,1
1003988825,94.51,1
1003989690,76.64,2
1003991753,99.33,1
1003991845,90.7,848
1003992868,74.03,36
1003992967,61.97,1
1003993247,81.11,1
1003993312,100.0,4
1003993346,78.79,1
1003995077,91.4,3
1003995747,87.98,2
1003996000,83.78,18
1003998253,95.94,4
1013001254,100.0,1
1013001601,36.16,1
1013002013,20.34,4
1013002112,100.0,1
1013003417,75.8,1
1013004605,90.85,3
1013004795,76.87,13
1013005016,83.11,34
1013005602,100.0,1
1013006576,100.0,9
1013006626,90.12,1
1013007756,97.7,4
1013008192,95.14,47
1013008572,0.0,1
1013009307,97.47,3
1013009810,87.42,6
1013009828,71.83,43
1013011345,67.72,5
1013012145,96.69,8
1013012327,75.29,1
1013012335,88.32,3
1013013002,84.78,10
1013013671,93.89,3
1013013770,94.48,1
1013013929,75.0,1
1013014083,3.69,1
1013015825,94.92,41
1013018076,86.88,1
1013018407,83.76,2
1013018811,75.34,11
1013019157,97.9,1
1013020296,97.96,4
1013020551,90.35,1
1013020726,73.64,1
1013021021,89.89,1
1013021310,89.33,19
1013021922,90.0,1
1013025600,7.95,1
1013026855,0.0,1
1013026889,100.0,1
1013027150,84.97,5
1013027283,25.56,2
1013027465,25.4,1
1013027580,0.0,1
1013028190,100.0,1
1013028794,57.96,3
1013028828,85.62,1
1013030618,77.81,5
1013031400,8.93,1
1013031533,64.64,3
1013034537,50.0,3
1013035112,83.28,2
1013035138,70.93,5
1013035419,77.7,2
1013036011,100.0,3
1013036219,80.09,54
1013037753,71.88,2
1013038330,75.0,1
1013038785,92.18,2
1013041300,19.71,1
1013042084,57.55,3
1013042480,84.19,75
1013043702,94.34,1
1013044296,72.08,65
1013044551,99.15,1
1013044726,81.46,3
1013046978,9.63,1
1013047455,93.7,1
1013049048,75.0,1
1013049170,100.0,1
1013049261,81.54,1
1013049410,75.0,1
1013050970,100.0,1
1013051390,100.0,8
1013055110,90.05,1
1013055912,86.1,2
1013056779,71.78,9
1013058866,94.18,2
1013058890,97.24,2
1013059708,75.0,1
1013060367,77.79,25
1013061217,84.5,12
1013061357,57.77,2
1013062710,81.69,1
1013063676,95.29,3
1013063817,75.0,1
1013064690,78.86,1
1013067214,75.0,2
1013068105,60.49,5
1013068709,98.0,4
1013068808,64.6,13
1013069509,17.69,2
1013071349,47.21,2
1013072263,79.05,5
1013074061,85.45,14
1013074897,70.57,4
1013074996,76.11,4
1013076256,0.0,1
1013081751,90.14,19
1013084482,77.12,45
1013085604,47.36,113
1013085901,77.59,2
1013085935,91.11,1
1013085992,90.66,2
1013089820,91.82,20
1013089879,83.15,6
1013090182,100.0,2
1013090349,75.0,2
1013090539,93.33,1
1013091115,76.1,4
1013092071,67.83,5
1013092857,73.13,5
1013093038,52.9,2
1013097120,81.45,3
1013097484,89.67,2
1013098755,79.77,1
1013098839,93.88,3
1013100627,86.74,1
1013100692,62.64,12
1013102854,56.76,1
1013103860,87.5,2
1013104488,30.0,1
1013104843,75.0,1
1013105196,70.48,6
1013105626,75.0,1
1013105956,0.0,1
1013106533,75.0,2
1013106541,94.97,3
1013106657,26.52,1
1013107853,80.31,1
1013109974,75.0,1
1013110196,15.83,1
1013110659,75.0,1
1013114230,96.62,1
1013114743,83.0,1
1013115591,79.3,5
1013115856,98.57,1
1013117167,75.0,1
1013119544,40.17,3
1013120963,75.0,1
1013121656,91.67,3
1013126267,75.0,1
1013126630,86.43,8
1013128602,99.87,1
1013132216,75.0,4
1013133800,0.0,1
1013134147,64.71,2
1013136357,76.46,2
1013140276,75.0,1
1013142496,0.0,1
1013143825,100.0,2
1013145002,89.64,1
1013147065,94.35,16
1013151935,86.09,1
1013153543,84.54,12
1013154657,100.0,1
1013155431,91.44,20
1013155654,78.85,1
1013155795,100.0,1
1013155852,86.31,1
1013156272,91.85,1
1013156629,34.16,1
1013160217,26.24,1
1013161215,80.66,1
1013163005,0.0,1
1013164623,90.9,1
1013166222,100.0,1
1013166248,91.19,2
1013166404,100.0,1
1013168822,88.3,1
1013169127,0.0,1
1013169168,73.87,5
1013169531,92.75,36
1013169952,0.0,1
1013171131,75.0,1
1013171149,94.32,1
1013171529,31.05,1
1013172519,96.51,1
1013173475,0.0,1
1013173764,100.0,3
1013175165,95.56,1
1013176783,72.52,1
1013176957,89.56,1
1013180181,84.27,47
1013180215,73.26,1
1013182526,58.87,1
1013183052,64.54,2
1013183060,95.03,30
1013183961,83.0,1
1013185255,95.88,4
1013185321,81.6,1
1013186352,77.9,3
1013187798,75.0,1
1013187822,80.75,1
1013187947,29.07,1
1013188564,86.02,2
1013188697,95.66,1
1013190396,82.92,1
1013190685,94.65,8
1013191170,83.04,5
1013192483,100.0,1
1013194455,64.29,3
1013195767,79.94,2
1013195924,0.0,2
1013196625,80.84,3
1013197003,84.95,1
1013197631,42.0,1
1013197755,75.0,1
1013197912,89.76,1
1013198233,89.99,1
1013198357,75.0,1
1013198738,58.85,1
1013198985,79.41,1
1013199595,87.41,1
1013200708,98.76,2
1013202761,75.0,1
1013202886,87.01,35
1013204577,71.72,2
1013205863,33.55,1
1013206812,93.72,4
1013206853,90.04,1
1013208370,75.0,1
1013208602,86.61,11
1013209303,0.0,1
1013210004,98.05,39
1013210186,0.0,1
1013211028,75.0,1
1013212315,89.28,2
1013213594,100.0,1
1013214238,79.91,1
1013214261,98.52,2
1013216076,75.0,2
1013217389,100.0,1
1013217769,78.26,3
1013217892,78.32,2
1013220722,0.0,2
1013221092,17.11,1
1013221894,99.68,3
1013222629,75.3,4
1013223478,96.28,2
1013225952,0.0,1
1013227651,73.84,14
1013228188,84.64,1
1013228931,30.48,1
1013230374,100.0,1
1013238153,94.93,1
1013240316,85.13,1
1013240936,99.02,1
1013244326,80.74,1
1013244581,75.0,1
1013246016,92.87,1
1013246727,58.71,2
1013248186,100.0,1
1013250729,84.01,4
1013255041,97.64,1
1013255207,75.0,2
1013256106,58.96,1
1013258664,74.28,2
1013259084,57.06,8
1013260025,89.48,3
1013261700,82.48,3
1013261726,83.94,3
1013262377,15.06,1
1013263847,75.0,2
1013264118,31.38,3
1013264183,87.91,3
1013265909,85.33,58
1013267392,79.29,1
1013268069,39.62,2
1013269216,67.64,1
1013269430,67.81,2
1013269547,72.68,1
1013269729,100.0,1
1013269802,81.74,12
1013270354,30.0,1
1013270800,74.88,2
1013271857,91.59,6
1013273119,92.14,1
1013273242,79.54,1
1013273655,0.0,1
1013275031,75.0,1
1013275924,68.87,6
1013275981,81.2,9
1013276963,75.0,1
1013277060,89.44,1
1013278274,81.47,5
1013278936,95.3,7
1013281567,0.0,1
1013282029,80.93,34
1013282870,55.1,1
1013283001,17.09,1
1013286004,75.0,1
1013286228,84.72,3
1013287713,90.99,1
1013288836,100.0,1
1013289339,38.36,6
1013289446,75.32,6
1013293109,100.0,1
1013293588,87.5,2
1013295054,94.83,1
1013296821,93.71,1
1013298041,64.16,1
1013298470,86.55,10
1013300631,7.24,1
1013300862,86.43,2
1013302132,71.14,1
1013303056,76.69,5
1013303080,82.54,219
1013303213,93.48,1
1013303858,86.46,1
1013304161,96.6,1
1013304336,80.33,1
1013305945,81.67,219
1013306174,76.27,7
1013306364,18.83,1
1013309509,84.25,3
1013310309,83.46,28
1013312040,90.55,1
1013312412,72.02,33
1013313071,80.36,2
1013313402,78.56,2
1013313691,75.0,1
1013313709,94.56,14
1013313857,80.12,31
1013315373,0.0,1
1013319011,90.19,2
1013320258,0.0,2
1013322932,96.15,1
1013324268,80.98,1
1013324425,54.61,1
1013326362,87.99,5
1013326529,94.1,2
